registration,bonnet_no,operator
BU16OZE,MHV17,Go-Ahead
BU16UXA,13121,Stagecoach London
BU16UXB,13122,Stagecoach London
BU16UXC,VH45081,First Bus
BU16UXD,13123,Stagecoach London
BU16UXE,VH45082,First Bus
BU16UXF,VH45083,First Bus
BU16UXG,13124,Stagecoach London
BU16UXH,13125,Stagecoach London
BU16UXJ,13126,Stagecoach London
BU16UXK,VH45087,First Bus
BU16UXL,13127,Stagecoach London
BU16UXM,13128,Stagecoach London
BU16UXN,VH45085,First Bus
BU16UXO,13129,Stagecoach London
BU16UXP,VH45084,First Bus
BU16UXR,VH45086,First Bus
BU16UXS,13130,Stagecoach London
BU16UXT,13131,Stagecoach London
BU16UXV,13132,Stagecoach London
BU16UXW,13133,Stagecoach London
BU16UXX,13134,Stagecoach London
BU16UXY,13135,Stagecoach London
BU16UXZ,13136,Stagecoach London
BU16UYA,VH45088,First Bus
BU16UYB,13137,Stagecoach London
BV10WVD,WVN31,Go-Ahead
BV10WVE,WVN32,Go-Ahead
BV10WVF,WVN33,Go-Ahead
BV10WVG,WVN34,Go-Ahead
BV10WVH,WVN35,Go-Ahead
BV10WVJ,WVN36,Go-Ahead
BV10WVK,WVN37,Go-Ahead
BV10WVL,WVN38,Go-Ahead
BV10WWA,WVN39,Go-Ahead
BV10WWC,WVN40,Go-Ahead
BV20GRU,1515,Transport UK London
BV23ZYX,1535,Transport UK London
BV23ZYY,1536,Transport UK London
BV23ZYZ,1537,Transport UK London
BV23ZZB,1538,Transport UK London
BV23ZZC,1539,Transport UK London
BV23ZZD,1540,Transport UK London
BV23ZZE,1541,Transport UK London
BV23ZZF,1542,Transport UK London
BV23ZZG,1543,Transport UK London
BV66GXY,MCM30084,First Bus
BV66GXZ,MCM30085,First Bus
BV66GYA,MCM30086,First Bus
BV66GYB,MCM30087,First Bus
BV66GYC,MCM30088,First Bus
BV66GYD,MCM30089,First Bus
BV66GYE,MCM30090,First Bus
BV66GYF,MCM30091,First Bus
BV66GYG,MCM30092,First Bus
BV66VFT,MHV60,Go-Ahead
BV66VFU,MHV63,Go-Ahead
BV66VFW,MHV64,Go-Ahead
BV66VFX,MHV65,Go-Ahead
BV66VFY,MHV66,Go-Ahead
BV66VFZ,MHV67,Go-Ahead
BV66VGA,MHV68,Go-Ahead
BV66VGC,MHV69,Go-Ahead
BV66VGD,MHV70,Go-Ahead
BV66VGE,MHV71,Go-Ahead
BV66VGF,MHV72,Go-Ahead
BV66VGG,MHV73,Go-Ahead
BV66VGJ,MHV74,Go-Ahead
BV66VGK,MHV75,Go-Ahead
BV66VGL,MHV76,Go-Ahead
BV66VGM,MHV77,Go-Ahead
BV66VGN,MHV78,Go-Ahead
BV66VGO,MHV79,Go-Ahead
BV66VGP,MHV80,Go-Ahead
BV66VGX,MHV50,Go-Ahead
BV66VGY,MHV51,Go-Ahead
BV66VGZ,MHV52,Go-Ahead
