route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
652,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
653,?,,0,,?,diesel,,0
655,E40D/Enviro400,,0,,E40D/Enviro400,diesel,double,0
656,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
657,?,,0,,?,diesel,,0
658,B9TL/Gemini 2,,0,,B9TL/Gemini 2,diesel,double,0
66,Trident/Enviro400,Volvo B5LH Wright Eclipse Gemini 3,1,VOLVO,Trident/Enviro400,diesel,double,1
660,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
661,Trident/Enviro400,,0,,Trident/Enviro400,diesel,double,0
662,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
663,?,,0,,?,diesel,,0
664,E40D/Enviro400,,0,,E40D/Enviro400,diesel,double,0
665,E20D/Enviro200 MMC,,0,,E20D/Enviro200 MMC,diesel,double,0
667,E40D/Enviro400 MMC,,0,,E40D/Enviro400 MMC,diesel,double,0
669,E40H/Enviro400H MMC,,0,,E40H/Enviro400H MMC,hybrid,double,0
67,New Bus for London,,0,,New Bus for London,hybrid,double,0
670,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
671,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
672,?,,0,,?,diesel,double,0
674,DD/Enviro400EV City,,0,,DD/Enviro400EV City,electric,double,0
675,BYD B11E02 10.9m,,0,,BYD B11E02 10.9m,electric,double,0
677,B5LH/Gemini 2,,0,,B5LH/Gemini 2,hybrid,double,0
678,B5LH/EvoSeti,,0,,B5LH/EvoSeti,hybrid,double,0
679,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
68,New Bus for London,,0,,New Bus for London,hybrid,double,0
681,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
683,?,,0,,?,diesel,,0
684,E40D/Enviro400,,0,,E40D/Enviro400,diesel,double,0
685,BYD B11E02 10.9m,,0,,BYD B11E02 10.9m,electric,double,0
686,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
687,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
688,?,,0,,?,diesel,,0
689,Streetdeck Electroliner 10.5m,,0,,Streetdeck Electroliner 10.5m,electric,double,0
69,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,3,BYD,DD/Enviro400EV City,electric,double,3
690,B5LH/Gemini3,,0,,B5LH/Gemini3,hybrid,double,0
695,B5LH/SRM,,0,,B5LH/SRM,hybrid,double,0
696,E40D/Enviro400,,0,,E40D/Enviro400,diesel,double,0
697,?,,0,,?,diesel,,0
698,B5LH/SRM,,0,,B5LH/SRM,hybrid,double,0
699,K8SR 10.2m,,0,,K8SR 10.2m,diesel,single,0
