route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
N136,night,NX,New Cross,Go-Ahead,,"Chislehurst, War Memorial",Oxford Circus,,Conduit Street / Hamleys Toy Store,"Chislehurst, War Memorial","Oxford Circus, Conduit Street / Hamleys Toy Store",0,0,0,0,0,27.96,17.37
N137,night,BN,Brixton Hill,Arriva,,Oxford Circus,Crystal Palace,John Prince's Street / Oxford Circus,Crystal Palace Parade,Oxford Circus,Crystal Palace,0,0,0,0,0,21.985,13.66
N139,night,W,Cricklewood,Metroline,,,,,,,,,,,,,12.589,7.82
N14,night,AF,Putney,Go-Ahead,,,,,,,,,,,,,11.74,7.29
N140,night,HD,Harrow Weald,Metroline,,"Harrow Weald, Bus Garage",Heathrow Central,Long Elmes,Heathrow Central Bus Station,"Harrow Weald, Bus Garage, Long Elmes",Heathrow Central,0,0,0,0,0,21.74,13.51
N148,night,S,Shepherd's Bush,First,,,,,,,,,,,,,14.067,8.74
N149,night,AR,Tottenham,Arriva,,,,,,,,,,,,,14.299,8.88
N15,night,RR,River Road,Go-Ahead,,Oxford Circus,Romford Market,Margaret Street / Oxford Circus,,Oxford Circus,Romford Market,0,0,0,0,0,29.886,18.57
N155,night,SW,Stockwell,Go-Ahead,,Aldwych,Morden,Aldwych / Drury Lane,Morden Station,Aldwych,Morden,0,0,0,0,0,16.605,10.32
N158,night,EC,Edmonton,Arriva,,,,,,,,,,,,,12.032,7.48
N159,night,QB,Battersea,Transport UK,,,,,,,,,,,,,11.808,7.34
N171,night,NX,New Cross,Go-Ahead,,Tottenham Court Road,Hither Green Station,,Springbank Road / Hither Green Station,Tottenham Court Road,Hither Green Station,0,0,0,0,0,18.64,11.58
N176,night,Q,Camberwell,Go-Ahead,,,,,,,,,,,,,16.112,10.01
N18,night,X,Westbourne Park,First,,Trafalgar Square,"Harrow Weald, Bus Garage",Whitehall / Trafalgar Square,Long Elmes,Trafalgar Square,"Harrow Weald, Bus Garage, Long Elmes",0,0,0,0,0,24.294,15.1
N188,night,Q,Camberwell,Go-Ahead,,,,,,,,,,,,,16.001,9.94
N189,night,W,Cricklewood,Metroline,,,,,,,,,,,,,11.985,7.45
N19,night,SF,Stamford Hill,Arriva,,Clapham Junction,Finsbury Park Station,Clapham Junction Station,Finsbury Park Interchange,Clapham Junction,"Finsbury Park Station, Finsbury Park Interchange",0,0,0,0,0,16.073,9.99
N199,night,TL,Catford,Stagecoach London,,St Mary Cray Station,Trafalgar Square,,Trafalgar Square / Charing Cross Stn,St Mary Cray Station,Trafalgar Square,0,0,0,0,0,34.969,21.73
N2,night,N,Norwood,Arriva,,Marylebone,Crystal Palace,Marylebone Station,Crystal Palace Parade,Marylebone,Crystal Palace,0,0,0,0,0,15.835,9.84
N20,night,HT,Holloway,Metroline,,Trafalgar Square,Barnet Church,Whitehall / Trafalgar Square,Barnet Hospital,Trafalgar Square,"Barnet Church, Barnet Hospital",0,0,0,0,0,22.295,13.85
N205,night,BW,Bow,Stagecoach London,,"Leyton, Downsell Road",Paddington,Drapers Field,Paddington Station,"Leyton, Downsell Road, Drapers Field",Paddington,0,0,0,0,0,17.724,11.01
N207,night,GW,Southall,Transport UK,,Holborn,Uxbridge,Bloomsbury Square,Belmont Road,"Holborn, Bloomsbury Square","Uxbridge, Belmont Road",0,0,0,0,0,27.722,17.23
N21,night,NX,New Cross,Go-Ahead,,Trafalgar Square,"Bexleyheath, Shopping Centre",Charing Cross Station,Geddes Place,"Trafalgar Square, Charing Cross Station","Bexleyheath, Shopping Centre, Geddes Place",0,0,0,0,0,26.775,16.64
N213,night,A,Sutton,Go-Ahead,,,,,,,,,,,,,14.826,9.21
N214,night,RA,Waterloo,Go-Ahead,,,,,,,,,,,,,9.535,5.92
N22,night,AF,Putney,Go-Ahead,,Piccadilly Circus,Fulwell,Margaret Street / Oxford Circus,South Road / Fulwell,"Piccadilly Circus, Margaret Street / Oxford Circus",Fulwell,0,0,0,0,0,21.262,13.21
N220,night,V,Stamford Brook,First,,,,,,,,,,,,,12.498,7.77
N222,night,UX,Uxbridge Industrial Estate,Metroline,,,,,,,,,,,,,17.252,10.72
N23,night,X,Westbourne Park,First,,,,,,,,,,,,,11.371,7.07
N238,night,BK,Barking,Stagecoach London,,,,,,,,,,,,,7.729,4.8
N24,night,QB,Battersea,Transport UK,,,,,,,,,,,,,10.657,6.62
N242,night,HK,Ash Grove,Stagecoach London,,Tottenham Court Road,Homerton Hospital,St Giles High Street,,"Tottenham Court Road, St Giles High Street",Homerton Hospital,0,0,0,0,0,12.47,7.75
N243,night,AR,Tottenham,Arriva,,,,,,,,,,,,,16.174,10.05
N25,night,BW,Bow,Stagecoach London,,Ilford,Oxford Circus,Great Titchfield St / Oxford Circus Stn,Hainault Street,"Ilford, Great Titchfield St / Oxford Circus Stn","Oxford Circus, Hainault Street",0,0,0,0,0,17.424,10.83
N250,night,TH,Thornton Heath,Arriva,,Croydon Town Centre,Brixton,Fairfield Halls,Brixton Station,"Croydon Town Centre, Fairfield Halls",Brixton,0,0,0,0,0,13.163,8.18
N253,night,CT,Clapton,Arriva,,Tottenham Court Road,Aldgate,St Giles High Street,Aldgate Station,"Tottenham Court Road, St Giles High Street",Aldgate,0,0,0,0,0,18.886,11.74
N26,night,HK,Ash Grove,Stagecoach London,,Chingford Station,Victoria,,Westminster Cathedral / Victoria Stn,Chingford Station,Victoria,0,0,0,0,0,25.689,15.96
N263,night,PB,Potters Bar,Metroline,,"Moorgate, Finsbury Square",North Finchley,Finsbury Square,Tally Ho Corner,"Moorgate, Finsbury Square","North Finchley, Tally Ho Corner",0,0,0,0,0,13.098,8.14
N264,night,C,Croydon,Go-Ahead,,,,,,,,,,,,,11.08,6.88
N266,night,W,Cricklewood,Metroline,,"Brent Cross, Shopping Centre",Hammersmith,,Hammersmith Bus Station,"Brent Cross, Shopping Centre",Hammersmith,0,0,0,0,0,17.315,10.76
N27,night,QB,Battersea,Transport UK,,Chalk Farm,Hammersmith,Hartland Road / Camden Market,Hammersmith Bus Station,"Chalk Farm, Hartland Road / Camden Market",Hammersmith,0,0,0,0,0,11.068,6.88
N277,night,HK,Ash Grove,Stagecoach London,,Crossharbour,"Islington, Angel",Isle of Dogs Asda,White Lion Street,"Crossharbour, Isle of Dogs Asda","Islington, Angel, White Lion Street",0,0,0,0,0,15.792,9.81
N279,night,E,Enfield,Arriva,,Trafalgar Square,Waltham Cross,Trafalgar Square / Charing Cross Stn,Waltham Cross Bus Station,Trafalgar Square,Waltham Cross,0,0,0,0,0,23.414,14.55
N28,night,WJ,Willesden Junction,Metroline,,Wandsworth,Camden Town,Mapleton Crescent,Camden Town Station,"Wandsworth, Mapleton Crescent",Camden Town,0,0,0,0,0,21.201,13.17
N281,night,FW,Fulwell,First,,,,,,,,,,,,,19.182,11.92
N285,night,TF,Fulwell (Twickenham),Transport UK,,,,,,,,,,,,,20.999,13.05
N29,night,WN,Wood Green,Arriva,,Trafalgar Square,Enfield,Trafalgar Square / Charing Cross Stn,Little Park Gardens,Trafalgar Square,"Enfield, Little Park Gardens",0,0,0,0,0,19.877,12.35
N295,night,X,Westbourne Park,First,,,,,,,,,,,,,11.928,7.41
N297,night,PV,Perivale [East],Metroline,,,,,,,,,,,,,14.93,9.28
N3,night,WL,Walworth,Transport UK,,Bromley North,Oxford Circus,Bromley North Station,Margaret Street / Oxford Circus,Bromley North,Oxford Circus,0,0,0,0,0,51.176,31.8
N31,night,X,Westbourne Park,First,,Clapham Junction,Camden Town,Clapham Junction Station,Camden Town Station,Clapham Junction,Camden Town,0,0,0,0,0,17.588,10.93
N32,night,W,Cricklewood,Metroline,,Victoria,Edgware,Victoria Station,Edgware Station,Victoria,Edgware,0,0,0,0,0,16.909,10.51
N321,night,NX,New Cross,Go-Ahead,,,,,,,,,,,,,16.244,10.09
N33,night,FW,Fulwell,First,,Hammersmith,"Fulwell, Stanley Road",Hammersmith Bus Station,Fulwell Station,Hammersmith,"Fulwell, Stanley Road, Fulwell Station",0,0,0,0,0,16.659,10.35
N341,night,AR,Tottenham,Arriva,,,,,,,,,,,,,17.298,10.75
N343,night,NX,New Cross,Go-Ahead,,New Cross Gate,Trafalgar Square,New Cross / Jerningham Road,Whitehall / Trafalgar Square,"New Cross Gate, New Cross / Jerningham Road",Trafalgar Square,0,0,0,0,0,15.08,9.37
N344,night,QB,Battersea,Transport UK,,,,,,,,,,,,,11.292,7.02
N345,night,QB,Battersea,Transport UK,,,,,,,,,,,,,14.581,9.06
N35,night,Q,Camberwell,Go-Ahead,,,,,,,,,,,,,14.082,8.75
N36,night,NX,New Cross,Go-Ahead,,,,,,,,,,,,,16.665,10.36
N365,night,NS,Romford,Stagecoach London,,,,,,,,,,,,,15.353,9.54
N37,night,PM,Peckham,Go-Ahead,,,,,,,,,,,,,15.427,9.59
N38,night,CT,Clapton,Arriva,,Victoria,Walthamstow Central,Victoria Bus Station,Walthamstow Bus Station,Victoria,"Walthamstow Central, Walthamstow Bus Station",0,0,0,0,0,17.239,10.71
N381,night,WL,Walworth,Transport UK,,"Whitehall, Horse Guards",Peckham,Horse Guards Parade,Peckham Bus Station,"Whitehall, Horse Guards, Horse Guards Parade",Peckham,0,0,0,0,0,15.654,9.73
N390,night,HT,Holloway,Metroline,,,,,,,,,,,,,11.525,7.16
N41,night,AR,Tottenham,Arriva,,Tottenham Hale,Trafalgar Square,Tottenham Hale Bus Station,Trafalgar Square / Charing Cross Stn,Tottenham Hale,Trafalgar Square,0,0,0,0,0,16.487,10.24
N43,night,HT,Holloway,Metroline,,,,,,,,,,,,,15.405,9.57
N44,night,SW,Stockwell,Go-Ahead,,Sutton Station,Aldwych,Sutton Station / the Quadrant,Aldwych / Drury Lane,Sutton Station,Aldwych,0,0,0,0,0,23.211,14.42
N453,night,NX,New Cross,Go-Ahead,,,,,,,,,,,,,13.328,8.28
N47,night,TL,Catford,Stagecoach London,,,,,,,,,,,,,15.833,9.84
N472,night,MG,Morden Wharf (Greenwich),Go-Ahead,,Gayton Road / Abbey Wood Station,North Greenwich Station,,,Gayton Road / Abbey Wood Station,North Greenwich Station,0,0,0,0,0,15.1,9.38
N474,night,DS,Henley Road,Go-Ahead,,,,,,,,,,,,,15.408,9.57
N486,night,BX,Bexleyheath,Go-Ahead,,,,,,,,,,,,,14.692,9.13
N5,night,BT,Edgware,First,,Trafalgar Square,Edgware,Whitehall / Trafalgar Square,Edgware Station,Trafalgar Square,Edgware,0,0,0,0,0,21.924,13.62
N52,night,AC,Willesden,Metroline,,,,,,,,,,,,,11.149,6.93
N53,night,PD,Plumstead,Stagecoach London,,"Whitehall, Horse Guards",Plumstead Station,Horse Guards Parade,Griffin Road / Plumstead Station,"Whitehall, Horse Guards, Horse Guards Parade",Plumstead Station,0,0,0,0,0,19.923,12.38
N55,night,T,Leyton,Stagecoach London,,Oxford Circus,Woodford Wells,Great Titchfield St / Oxford Circus Stn,St Thomas of Canterbury Church,Oxford Circus,"Woodford Wells, St Thomas of Canterbury Church",0,0,0,0,0,23.051,14.32
N550,night,HK,Ash Grove,Stagecoach London,,Canning Town,Trafalgar Square,Canning Town Station,,Canning Town,Trafalgar Square,0,0,0,0,0,18.059,11.22
N551,night,BK,Barking,Stagecoach London,,"Gallions Reach, Shopping Park",Trafalgar Square,,,"Gallions Reach, Shopping Park",Trafalgar Square,0,0,0,0,0,20.364,12.65
N57,night,AL,Merton,Go-Ahead,,,,,,,,,,,,,18.666,11.6
N6,night,AC,Willesden,Metroline,,,,,,,,,,,,,11.151,6.93
N63,night,WL,Walworth,Transport UK,,King's Cross,Crystal Palace,King's Cross Station / York Way,Crystal Palace Parade / College Road,King's Cross,Crystal Palace,0,0,0,0,0,15.915,9.89
N64,night,TH,Thornton Heath,Arriva,,,,,,,,,,,,,18.691,11.61
N65,night,FW,Fulwell,First,,Ealing Broadway,Chessington,Ealing Broadway Station,Chessington World of Adventures,Ealing Broadway,Chessington,0,0,0,0,0,24.352,15.13
N68,night,WL,Walworth,Transport UK,,Tottenham Court Road,Old Coulsdon,St Giles High Street,Old Coulsdon / Tudor Rose,"Tottenham Court Road, St Giles High Street",Old Coulsdon,0,0,0,0,0,29.644,18.42
N69,night,DS,Henley Road,Go-Ahead,,,,,,,,,,,,,10.479,6.51
N7,night,PV,Perivale [East],Metroline,,Oxford Circus,Northolt,Oxford Circus Station / John Lewis,Northolt Station,Oxford Circus,Northolt,0,0,0,0,0,24.417,15.17
N72,night,S,Shepherd's Bush,First,,"Roehampton, Bessborough Road",East Acton,Norley Vale,Brunel Road,"Roehampton, Bessborough Road, Norley Vale","East Acton, Brunel Road",0,0,0,0,0,14.875,9.24
N73,night,CT,Clapton,Arriva,,Walthamstow Central,Oxford Circus,Walthamstow Bus Station,Great Titchfield St / Oxford Circus Stn,"Walthamstow Central, Walthamstow Bus Station",Oxford Circus,0,0,0,0,0,17.051,10.59
N74,night,AF,Putney,Go-Ahead,,Baker Street Station,"Roehampton, Danebury Avenue",,Minstead Gardens,Baker Street Station,"Roehampton, Danebury Avenue, Minstead Gardens",0,0,0,0,0,16.809,10.44
N76,night,SF,Stamford Hill,Arriva,,,,,,,,,,,,,14.621,9.09
N8,night,BW,Bow,Stagecoach London,,Oxford Circus,"Hainault, The Lowe",Great Titchfield St / Oxford Circus Stn,The Lowe,Oxford Circus,"Hainault, The Lowe",0,0,0,0,0,26.749,16.62
N83,night,PV,Perivale [East],Metroline,,Ealing Hospital,Golders Green,,Golders Green Station,Ealing Hospital,Golders Green,0,0,0,0,0,20.235,12.57
N85,night,TV,Tolworth,First,,,,,,,,,,,,,11.361,7.06
N86,night,NS,Romford,Stagecoach London,,"Harold Hill, Dagnam Park Square",Stratford,Dagnam Park Square,Stratford Bus Station,"Harold Hill, Dagnam Park Square",Stratford,0,0,0,0,0,23.793,14.78
N87,night,SW,Stockwell,Go-Ahead,,Aldwych,Kingston,Aldwych / Drury Lane,Fairfield Bus Station,Aldwych,"Kingston, Fairfield Bus Station",0,0,0,0,0,26.222,16.29
N88,night,SW,Stockwell,Go-Ahead,,,,,,,,,,,,,14.896,9.26
N89,night,NX,New Cross,Go-Ahead,,Erith,Trafalgar Square,Erith Town Centre / Riverside,Charing Cross Station,Erith,"Trafalgar Square, Charing Cross Station",0,0,0,0,0,34.095,21.19
N9,night,AH,Brentford,Metroline,,Heathrow Terminal 5,Aldwych,,Aldwych / Drury Lane,Heathrow Terminal 5,Aldwych,0,0,0,0,0,32.312,20.08
N91,night,NP,Northumberland Park,Go-Ahead,,Trafalgar Square,Cockfosters,Whitehall / Trafalgar Square,Cockfosters Station,Trafalgar Square,Cockfosters,0,0,0,0,0,23.244,14.44
N93,night,A,Sutton,Go-Ahead,,,,,,,,,,,,,14.949,9.29
N94,night,S,Shepherd's Bush,First,,,,,,,,,,,,,10.542,6.55
N97,night,AF,Putney,Go-Ahead,,Trafalgar Square,Hammersmith,Whitehall / Trafalgar Square,Hammersmith Bus Station,Trafalgar Square,Hammersmith,0,0,0,0,0,10.025,6.23
N98,night,HD,Harrow Weald,Metroline,,Holborn,Stanmore Station,Red Lion Square,,"Holborn, Red Lion Square",Stanmore Station,0,0,0,0,0,22.086,13.72
NEL1,prefix,RR,River Road,Go-Ahead,,,,,,,,,,,,,9.005,5.6
P12,prefix,PM,Peckham,Go-Ahead,,Brockley Rise,Surrey Quays,Brockley Rise / Chandos,Surrey Quays Shopping Centre,Brockley Rise,Surrey Quays,0,0,0,0,14.8,13.82,8.59
P13,prefix,WL,Walworth,Transport UK,,New Cross Gate,Streatham Station,New Cross Sainsbury's,,"New Cross Gate, New Cross Sainsbury's",Streatham Station,15.5,16.8,16.1,0,16.2,14.81,9.2
P4,prefix,NX,New Cross,Go-Ahead,,Brixton,"Lewisham, Shopping Centre",Brixton Station,Lewisham Station,Brixton,"Lewisham, Shopping Centre, Lewisham Station",11.9,12.7,12.1,0,12.3,11.955,7.43
P5,prefix,WL,Walworth,Transport UK,,Patmore Estate,Elephant & Castle,Patmore Estate / Drury House,Elephant & Castle / Newington Causeway,Patmore Estate,Elephant & Castle,0,0,0,0,15.1,11.213,6.97
R1,prefix,MB,Orpington,Go-Ahead,,Green Street Green,St Paul's Cray,High Street / Worlds End Lane,Grovelands Road,"Green Street Green, High Street / Worlds End Lane","St Paul's Cray, Grovelands Road",19.3,20,19.9,0,19.7,13.668,8.49
R10,prefix,MB,Orpington,Go-Ahead,,Green Street Green,Orpington Station,High Street / Green Street Green,,Green Street Green,Orpington Station,0,0,0,0,0,4.331,2.69
R11,prefix,MB,Orpington,Go-Ahead,,Green Street Green,Queen Mary's Hospital,High Street / Worlds End Lane,Sidcup / Queen Mary's Hospital,"Green Street Green, High Street / Worlds End Lane",Queen Mary's Hospital,13.5,14,13.7,0,13.6,12.931,8.03
R2,prefix,MB,Orpington,Go-Ahead,,Biggin Hill Valley,"Orpington, Walnuts Centre",East Hill,Orpington Police Station,"Biggin Hill Valley, East Hill","Orpington, Walnuts Centre, Orpington Police Station",29.8,31,29.4,0,29.9,14.325,8.9
R3,prefix,MB,Orpington,Go-Ahead,,Orpington Station,Princess Royal Hospital,,Princess Royal University Hospital,Orpington Station,"Princess Royal Hospital, Princess Royal University Hospital",19.6,20,19.7,0,20.3,15.402,9.57
R4,prefix,MB,Orpington,Go-Ahead,,Princess Royal Hospital,Pauls Cray Hill,Princess Royal University Hospital,Augustine Road,"Princess Royal Hospital, Princess Royal University Hospital","Pauls Cray Hill, Augustine Road",19.8,20.1,19.9,0,19.8,13.817,8.59
R5,prefix,MB,Orpington,Go-Ahead,,Green Street Green,Orpington Station,High Street / Green Street Green,,Green Street Green,Orpington Station,0,0,0,0,0,4.331,2.69
R68,prefix,TF,Fulwell (Twickenham),Transport UK,,Hampton Court,"Kew, Retail Park",Hampton Court Station,,Hampton Court,"Kew, Retail Park",15.7,16,15.9,0,15.8,14.661,9.11
R7,prefix,MB,Orpington,Go-Ahead,,Chislehurst,Chelsfield Village,Chislehurst Sainsbury's,Chelsfield Village / Five Bells,Chislehurst,Chelsfield Village,33.8,33,30.5,0,29.7,16.428,10.21
R70,prefix,TF,Fulwell (Twickenham),Transport UK,,"Richmond, Manor Circus","Hampton, The Avenue",Richmond / Manor Road,Nurserylands Shopping Centre,"Richmond, Manor Circus, Richmond / Manor Road","Hampton, The Avenue, Nurserylands Shopping Centre",11.5,11.7,11.5,0,11.1,14.219,8.84
R8,prefix,MB,Orpington,Go-Ahead,,Biggin Hill,Orpington Station,Lebanon Gardens,,"Biggin Hill, Lebanon Gardens",Orpington Station,85,85,83.3,0,83.6,14.407,8.95
R9,prefix,MB,Orpington,Go-Ahead,,Ramsden Estate,Orpington Station,Tintagel Road / Gillmans Road,,"Ramsden Estate, Tintagel Road / Gillmans Road",Orpington Station,14.5,15.2,14.8,0,15,4.77,2.96
S1,prefix,BC,Beddington,Transport UK,,Lavender Fields,Banstead,Victoria Road / Lavender Fields,Banstead / Marks & Spencer,Lavender Fields,Banstead,13.8,15,14.6,0,14.8,19.091,11.86
S2,prefix,A,Sutton,Go-Ahead,,St Helier Station,Epsom,,Epsom High Street,St Helier Station,Epsom,0,0,0,0,20,16.198,10.06
S3,prefix,BC,Beddington,Transport UK,,Malden Manor,Sutton Hospital,Malden Manor Station,Belmont Station,Malden Manor,"Sutton Hospital, Belmont Station",0,0,0,0,19.9,24.534,15.24
S4,prefix,C,Croydon,Go-Ahead,,"Sutton, Town Centre",Waddon Marsh,Sutton / Marshall's Road,Waddon Marsh Sainsbury's,"Sutton, Town Centre, Sutton / Marshall's Road",Waddon Marsh,0,0,0,0,30.1,22.051,13.7
SCS,prefix,WH,West Ham,Stagecoach London,,"Royal Docks, Seagull Lane","North Greenwich, Millennium Way",Seagull Lane,Millennium Way,"Royal Docks, Seagull Lane","North Greenwich, Millennium Way",12,12,12,0,12,3.199,1.99
SL1,prefix,AD,Palmers Green,Arriva,,Walthamstow Central,North Finchley,Walthamstow Central Station,North Finchley Bus Station,Walthamstow Central,North Finchley,11.8,12.1,12,0,12,14.76,9.17
SL10,prefix,SO,Harrow,First,,Harrow Bus Station,North Finchley,,North Finchley Bus Station,Harrow Bus Station,North Finchley,12,12,12,0,12,14.909,9.26
SL11,prefix,MG,Morden Wharf (Greenwich),Go-Ahead,,Gayton Road / Abbey Wood Station,North Greenwich Station,,,Gayton Road / Abbey Wood Station,North Greenwich Station,6,6,5.9,0,6,14.617,9.08
SL2,prefix,DX,Barking,Arriva,,North Woolwich,Walthamstow Central,North Woolwich Ferry,Walthamstow Bus Station,North Woolwich,"Walthamstow Central, Walthamstow Bus Station",11.9,12,11.6,0,11.9,18.994,11.8
SL3,prefix,TB,Bromley,Stagecoach London,,Bromley North,Thamesmead,Bromley North Station,Thamesmead Town Centre,Bromley North,Thamesmead,12.1,12.4,11.7,0,12.1,23.241,14.44
SL4,prefix,DS,Henley Road,Go-Ahead,,Grove Park,Canary Wharf,Grove Park Bus Station,West India Avenue,Grove Park,"Canary Wharf, West India Avenue",0,0,0,0,14.9,23.892,14.85
SL5,prefix,TC,Croydon,Arriva,,Croydon Town Centre,Bromley North,Park Street,Bromley North Station,"Croydon Town Centre, Park Street",Bromley North,11.9,12.2,11.8,0,11.9,12.425,7.72
SL6,prefix,N,Norwood,Arriva,,Russell Square,West Croydon,,West Croydon Bus Station,Russell Square,West Croydon,14.7,0,0,0,0,18.788,11.67
SL7,prefix,C,Croydon,Go-Ahead,,Heathrow Central,West Croydon,Heathrow Central Bus Station,West Croydon Bus Station,Heathrow Central,West Croydon,15.9,15.4,14.1,15,14.5,84.001,52.2
SL8,prefix,G,Greenford,Metroline,,White City,Uxbridge,White City Bus Station,Belmont Road,White City,"Uxbridge, Belmont Road",7.9,8.1,7.9,10,8,21.444,13.32
SL9,prefix,SO,Harrow,First,,Harrow Bus Station,Heathrow Central,St Georges Centre,Heathrow Central Bus Station,"Harrow Bus Station, St Georges Centre",Heathrow Central,13.7,14,14,0,14.1,17.101,10.63
T1,prefix,,,,,,,,,,,,,,,,15.102,9.38
T2,prefix,,,,,,,,,,,,,,,,18.362,11.41
T3,prefix,,,,,,,,,,,,,,,,18.906,11.75
U1,prefix,UX,Uxbridge Industrial Estate,Metroline,,West Drayton,Ruislip,West Drayton Station,Ruislip Station,West Drayton,Ruislip,15.5,15.3,14.9,0,15,12.852,7.99
U10,prefix,UX,Uxbridge Industrial Estate,Metroline,,"Ruislip, Heathfield Rise",Uxbridge,Glenhurst Avenue,Belmont Road,"Ruislip, Heathfield Rise, Glenhurst Avenue","Uxbridge, Belmont Road",94,96,88.7,0,90.3,11.096,6.89
U2,prefix,UX,Uxbridge Industrial Estate,Metroline,,Uxbridge,Brunel University,Belmont Road,,"Uxbridge, Belmont Road",Brunel University,9.9,9.8,9.9,0,10.1,9.15,5.69
U3,prefix,UX,Uxbridge Industrial Estate,Metroline,,Heathrow Central,Uxbridge,Heathrow Central Bus Station,Belmont Road,Heathrow Central,"Uxbridge, Belmont Road",12,12,11.7,20,12,15.882,9.87
U4,prefix,UX,Uxbridge Industrial Estate,Metroline,,Uxbridge,"Hayes, Prologis Park",Belmont Road,Prologis Park,"Uxbridge, Belmont Road","Hayes, Prologis Park",9.7,10.3,10,0,10.1,12.317,7.65
U5,prefix,DH,Hayes,Transport UK,,Hayes & Harlington Station,Uxbridge,Blyth Road,York Road,"Hayes & Harlington Station, Blyth Road","Uxbridge, York Road",11.9,11.9,12,0,12.3,14.654,9.11
U7,prefix,DH,Hayes,Transport UK,,"Hayes, Sainsbury's",Uxbridge,Lombardy Retail Park,Belmont Road,"Hayes, Sainsbury's, Lombardy Retail Park","Uxbridge, Belmont Road",30,30,30,0,30,11.773,7.32
U9,prefix,DH,Hayes,Transport UK,,Harefield Hospital,Uxbridge,,Belmont Road,Harefield Hospital,"Uxbridge, Belmont Road",20.9,20.3,19.7,0,20.8,10.637,6.61
UL13,prefix,,,,,,,,,,,,,,,,16.605,10.32
UL19,prefix,,,,,,,,,,,,,,,,43.566,27.07
UL26,prefix,,,,,,,,,,,,,,,,11.302,7.02
UL30,prefix,,,,,,,,,,,,,,,,10.272,6.38
UL40,prefix,,,,,,,,,,,,,,,,21.983,13.66
UL61,prefix,,,,,,,,,,,,,,,,6.122,3.8
W11,prefix,AW,Walthamstow Avenue,Stagecoach London,,Walthamstow Central,Chingford Hall Estate,Walthamstow Central Station,,Walthamstow Central,Chingford Hall Estate,0,0,0,0,12,7.813,4.85
W12,prefix,AW,Walthamstow Avenue,Stagecoach London,,Woodford Bridge,"Walthamstow, Coppermill Lane",Cross Road,Rensburg Road,"Woodford Bridge, Cross Road","Walthamstow, Coppermill Lane, Rensburg Road",0,0,0,0,14.8,17.545,10.9
W13,prefix,HO,Lea Interchange,Stagecoach London,,Woodford Wells,"Leyton Mills, Retail Park",St Thomas of Canterbury Church,Leyton Mills,"Woodford Wells, St Thomas of Canterbury Church","Leyton Mills, Retail Park",14.7,15.8,14.5,0,15,17.945,11.15
W14,prefix,HO,Lea Interchange,Stagecoach London,,Loughton,Whipps Cross,Loughton Station,Whipps Cross Bus Stand,Loughton,Whipps Cross,60,61.5,58.6,0,60,14.069,8.74
W15,prefix,NP,Northumberland Park,Go-Ahead,,Hackney Town Hall,"Higham Hill, Cogan Avenue",,,Hackney Town Hall,"Higham Hill, Cogan Avenue",9.6,10.2,9.8,0,9.8,14.981,9.31
W16,prefix,AW,Walthamstow Avenue,Stagecoach London,,Leytonstone,Chingford Mount,Leytonstone Station / Grove Green Road,,Leytonstone,Chingford Mount,12.7,13.4,12.7,0,13.1,9.92,6.16
W19,prefix,AW,Walthamstow Avenue,Stagecoach London,,Ilford,"Walthamstow, Argall Avenue",Hainault Street,Argall Avenue Industrial Estate,"Ilford, Hainault Street","Walthamstow, Argall Avenue, Argall Avenue Industrial Estate",10.9,10,9.8,0,12,14.795,9.19
W3,prefix,WN,Wood Green,Arriva,,Finsbury Park Station,Northumberland Park,,Northumberland Park Bus Stand,Finsbury Park Station,Northumberland Park,6,6.3,5.9,0,6.6,11.648,7.24
W4,prefix,WN,Wood Green,Arriva,,"Tottenham Hale, Ferry Lane",Oakthorpe Park,Ferry Lane Primary School,Mitchell Road,"Tottenham Hale, Ferry Lane, Ferry Lane Primary School","Oakthorpe Park, Mitchell Road",9.7,10.1,9.9,0,10,11.538,7.17
W5,prefix,AW,Walthamstow Avenue,Stagecoach London,,"Harringay, Superstores",Archway,Harringay Sainsbury's,Archway Station,"Harringay, Superstores, Harringay Sainsbury's",Archway,11.5,11.9,11.7,0,11.8,6.789,4.22
W6,prefix,WN,Wood Green,Arriva,,Edmonton Green,Southgate,Edmonton Green Bus Station,Southgate Station,Edmonton Green,Southgate,9.8,10,9.9,0,10.1,7.542,4.69
W7,prefix,HT,Holloway,Metroline,,Finsbury Park Station,Muswell Hill,,Muswell Hill Broadway,Finsbury Park Station,Muswell Hill,4.8,5,5,0,5.1,4.909,3.05
W8,prefix,PB,Potters Bar,Metroline,,Lee Valley Leisure Complex,Chase Farm Hospital,Picketts Lock Centre,Chase Farm Hospital / Main Entrance,"Lee Valley Leisure Complex, Picketts Lock Centre",Chase Farm Hospital,0,0,0,0,8,10.231,6.36
W9,prefix,PB,Potters Bar,Metroline,,Southgate,Chase Farm Hospital,Southgate Station,Chase Farm Hospital / Main Entrance,Southgate,Chase Farm Hospital,15.5,15.1,14.7,0,15.3,12.784,7.94
