route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
58,regular,HO,Lea Interchange,Stagecoach London,,Walthamstow Central,"East Ham, Central Park",Walthamstow Central Station,,Walthamstow Central,"East Ham, Central Park",11.6,12.2,11.7,0,11.9,12.163,7.56
59,regular,BN,Brixton Hill,Arriva,,"Smithfield, St Bartholomew's Hospital",Clapham Park,St Bartholomew's Hospital,Atkins Road / New Park Road,"Smithfield, St Bartholomew's Hospital","Clapham Park, Atkins Road / New Park Road",6.7,7.8,7.5,12,7.6,11.287,7.01
6,twentyfour,AC,Willesden,Metroline,,Victoria,"Willesden, Bus Garage",Victoria Station,Pound Lane / Willesden Bus Garage,Victoria,"Willesden, Bus Garage",8.5,8.6,8.5,30,8.6,11.151,6.93
60,regular,TC,Croydon,Arriva,,Streatham Station,Old Coulsdon,,Old Coulsdon / Tudor Rose,Streatham Station,Old Coulsdon,0,0,0,0,0,37.582,23.35
601,school,MG,Morden Wharf (Greenwich),Go-Ahead,,Wilmington Schools,Thamesmead,Wilmington Hall School,Thamesmead Town Centre,"Wilmington Schools, Wilmington Hall School",Thamesmead,1,0,0,0,0,17.723,11.01
602,school,PD,Plumstead,Stagecoach London,,Townley Grammar School,Thamesmead,,Thamesmead Town Centre,Townley Grammar School,Thamesmead,2,0,0,0,0,14.61,9.08
603,school,HT,Holloway,Metroline,,Swiss Cottage,Muswell Hill,Swiss Cottage Station,,Swiss Cottage,Muswell Hill,0,0,0,0,0,9.273,5.76
606,school,EW,Edgware,Metroline,,Totteridge Academy,Queensbury,The Totteridge Academy,Queensbury Station,Totteridge Academy,Queensbury,0,0,0,0,0,15.598,9.69
608,school,RR,River Road,Go-Ahead,,Shenfield High School,Gallows Corner,,,Shenfield High School,Gallows Corner,0,0,0,0,0,11.699,7.27
61,regular,TB,Bromley,Stagecoach London,,Bromley North,Chislehurst,Bromley North Station,Chislehurst / Gordon Arms,Bromley North,Chislehurst,0,0,0,0,15.1,16.984,10.55
612,school,TH,Thornton Heath,Arriva,,Wallington Grammar School,Selsdon,The Holt,Farley Road,"Wallington Grammar School, The Holt","Selsdon, Farley Road",0,0,0,0,0,10.824,6.73
613,school,TV,Tolworth,First,,Glenthorne School,Tolworth,Glenthorne High School,Tolworth Station,"Glenthorne School, Glenthorne High School",Tolworth,0,0,0,0,0,12.89,8.01
616,school,WN,Wood Green,Arriva,,Edmonton Green,Winchmore Hill,Edmonton Green Bus Station,Old Park Ridings,Edmonton Green,"Winchmore Hill, Old Park Ridings",5,0,0,0,0,11.112,6.9
617,school,PB,Potters Bar,Metroline,,St Ignatius College,Turnpike Lane Station,Turkey Street Station,Turnpike Lane Bus Station,"St Ignatius College, Turkey Street Station","Turnpike Lane Station, Turnpike Lane Bus Station",0,0,0,0,0,10.716,6.66
618,school,GW,Southall,Transport UK,,Bolder Academy,Easedale House,,,Bolder Academy,Easedale House,0,0,0,0,0,7.137,4.43
62,regular,BK,Barking,Stagecoach London,,"Barking, Gascoigne Road",Marks Gate,Gascoigne Road,Marks Gate / Billet Road,"Barking, Gascoigne Road",Marks Gate,11.9,12.1,11.5,0,11.9,13.848,8.6
621,school,TL,Catford,Stagecoach London,,Crown Woods School,"Lewisham, Shopping Centre",Leigh Stationers' Academy,Lewisham Station,"Crown Woods School, Leigh Stationers' Academy","Lewisham, Shopping Centre, Lewisham Station",0,0,0,0,0,7.959,4.95
624,school,MG,Morden Wharf (Greenwich),Go-Ahead,,Welling Corner,Grove Park,Welling Library,Grove Park Station,"Welling Corner, Welling Library",Grove Park,22,0,0,0,0,10.912,6.78
625,school,MG,Morden Wharf (Greenwich),Go-Ahead,,"Chislehurst, War Memorial",Plumstead Common,Bromley Lane / Chislehurst War Memorial,Warwick Terrace / Plumstead Common Road,"Chislehurst, War Memorial",Plumstead Common,0,0,0,0,0,11.128,6.91
626,school,PB,Potters Bar,Metroline,,Dame Alice Owen's School,Finchley Central,,Finchley Central Station,Dame Alice Owen's School,Finchley Central,0,0,0,0,0,17.918,11.13
627,school,N,Norwood,Arriva,,Wallington High School,Worcester Park,Woodcote Green,Worcester Park Station,"Wallington High School, Woodcote Green",Worcester Park,0,0,0,0,0,10.132,6.3
628,school,UB,Hatfield,Uno,,Southgate,,Southgate Station,,Southgate,,0,0,0,0,0,18.537,11.52
629,school,PB,Potters Bar,Metroline,,St Ignatius College,Wood Green,Turkey Street Station,Wood Green Bus Garage,"St Ignatius College, Turkey Street Station",Wood Green,0,0,0,0,0,12.099,7.52
63,regular,WL,Walworth,Transport UK,,King's Cross,Honor Oak,King's Cross Station / York Way,Therapia Road,King's Cross,"Honor Oak, Therapia Road",0,0,0,0,7.6,11.699,7.27
631,school,W,Cricklewood,Metroline,,Henrietta Barnett School,Golders Green,,Golders Green Station,Henrietta Barnett School,Golders Green,10,0,10,0,0,1.595,0.99
