route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
P13,regular,WL,Walworth,Transport UK,SD,New Cross Gate,Streatham Station,New Cross Sainsbury's,,"New Cross Gate, New Cross Sainsbury's",Streatham Station,,3.5,3.5,3.5,0.0,3.0,14.733,9.155
R1,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,St Paul's Cray,High Street / Worlds End Lane,Grovelands Road,"Green Street Green, High Street / Worlds End Lane","St Paul's Cray, Grovelands Road",,3.0,3.0,3.0,0.0,3.0,14.04,8.724
R2,regular,MB,Orpington,Go-Ahead,SD,Biggin Hill Valley,"Orpington, Walnuts Centre",East Hill,Orpington Police Station,"Biggin Hill Valley, East Hill","Orpington, Walnuts Centre, Orpington Police Station",,2.0,2.0,2.0,0.0,2.0,14.338,8.909
R3,regular,MB,Orpington,Go-Ahead,SD,Orpington Station,Princess Royal Hospital,,Princess Royal University Hospital,Orpington Station,"Princess Royal Hospital, Princess Royal University Hospital",,3.0,3.0,3.0,0.0,2.0,15.69,9.749
R4,regular,MB,Orpington,Go-Ahead,SD,Princess Royal Hospital,Pauls Cray Hill,Princess Royal University Hospital,Augustine Road,"Princess Royal Hospital, Princess Royal University Hospital","Pauls Cray Hill, Augustine Road",,3.0,3.0,3.0,0.0,1.0,14.06,8.736
R5,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Orpington Station,High Street / Green Street Green,,Green Street Green,Orpington Station,,0.5,0.5,0.5,0.0,0.5,13.632,8.471
R7,regular,MB,Orpington,Go-Ahead,SD,Chislehurst,Chelsfield Village,Chislehurst Sainsbury's,Chelsfield Village / Five Bells,Chislehurst,Chelsfield Village,,1.5,1.5,2.0,0.0,1.0,16.65,10.346
R8,regular,MB,Orpington,Go-Ahead,SD,Biggin Hill,Orpington Station,Lebanon Gardens,,"Biggin Hill, Lebanon Gardens",Orpington Station,,0.5,1.0,0.5,0.0,0.5,13.606,8.454
R9,regular,MB,Orpington,Go-Ahead,SD,Ramsden Estate,Orpington Station,Tintagel Road / Gillmans Road,,"Ramsden Estate, Tintagel Road / Gillmans Road",Orpington Station,,4.0,4.0,4.0,0.0,2.0,4.371,2.716
R10,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Orpington Station,High Street / Green Street Green,,Green Street Green,Orpington Station,,0.5,0.5,0.5,0.0,0.5,13.546,8.417
R11,regular,MB,Orpington,Go-Ahead,SD,Green Street Green,Queen Mary's Hospital,High Street / Worlds End Lane,Sidcup / Queen Mary's Hospital,"Green Street Green, High Street / Worlds End Lane",Queen Mary's Hospital,,4.5,4.5,4.5,0.0,3.0,12.933,8.036
R68,regular,TF,Fulwell (Twickenham),Transport UK,SD,Hampton Court,"Kew, Retail Park",Hampton Court Station,,Hampton Court,"Kew, Retail Park",,4.0,4.0,4.0,0.0,4.0,14.678,9.121
R70,regular,TF,Fulwell (Twickenham),Transport UK,SD,"Richmond, Manor Circus","Hampton, The Avenue",Richmond / Manor Road,Nurserylands Shopping Centre,"Richmond, Manor Circus, Richmond / Manor Road","Hampton, The Avenue, Nurserylands Shopping Centre",,5.0,5.0,5.0,0.0,4.0,11.948,7.424
S1,regular,BC,Beddington,Transport UK,SD,Lavender Fields,Banstead,Victoria Road / Lavender Fields,Banstead / Marks & Spencer,Lavender Fields,Banstead,,4.0,4.5,4.0,0.0,3.0,18.982,11.795
S2,regular,A,Sutton,Go-Ahead,SD,St Helier Station,Epsom,,Epsom High Street,St Helier Station,Epsom,,3.0,3.0,3.0,0.0,2.0,15.891,9.874
